sep=,
,Alliander,Enexis,Stedin,Common
94,4x150Al_4x6Cu_50CuAs_V_VMvKhsas,1014_V_VMvKsas_4x95mm2_Al,,
95,4x50Al_4x2p5Cu_as25__V_VMvKhsas,1211_GPLK_4x35mm2_Al,,
96,4x10Cu_as10Cu__YMvK_asmb,1535_VMvKhas_4x95mm2_Al___4x2p5mm2_Cu,,
97,4x25Cu__VMvK,,,
98,4x16Al_4x1p5Cu_as10__YMvKh_asmb,,,
99,3x10Cu__VG_VMvK_as,,,
100,4x50Cu_2x10Cu_2x2p5Cu__GPLKh,,,
101,4x6Cu_4x1Cu__GPLKh,,,
102,4x50Al_4x2p5Cu__VG_VMvKh,,,
103,5x6Cu__YMvK_asmb,,,
104,4x6Cu_as6__VG_YMvK_asmb,,,
105,4x50Al__GPLK,,,
106,3x70Cu_1x50Cu_2x10Cu_2x2p5__GPLKh,,,
107,4x6Cu_4x2p5Cu__VO_YMvKh_asmb,,,
108,4x50Cu__VMvK,,,
109,4x6Cu_2x1p5Cu__VMvKh_as,,,
110,4x16Cu_as16__YMvK_asmb,,,
111,4x16Al_as10__YMvK_asmb,,,
112,4x6Cu_2x1p5Cu__GPLKh,,,
113,4x6Cu_2x1Cu__GPLKh,,,
114,4x95Al_4x6Cu_35CuAs_V_VMvKhsas,,,
115,4x16Cu_as16__VG_VMvK_as,,,
116,2x2p5Cu_as2p5__VO_YMvK_asmb,,,
117,4x6Cu_2x1Cu__VMvKh,,,
118,4x25Cu_2x6Cu_2x2p5Cu__GPLK,,,
119,3x95Cu_1x70Cu_2x10Cu_2x2p5__GPLKh,,,
120,4x4Cu__VMvK,,,
121,4x16Cu_4x1p5Cu__GPLKh,,,
122,4x10Cu_as10__VO_YMvK_asmb,,,
